,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
10,prerank,GO_Biological_Process_2021__negative regulation of natural killer cell mediated cytotoxicity (GO:0045953),-0.8079621225794063,-1.6652476407087755,0.024,0.192689998916459,0.784,6/16,3.53%,HLA-B;HLA-A;HLA-E;HLA-F;LGALS9;MICA
11,prerank,GO_Biological_Process_2021__positive regulation of T cell mediated cytotoxicity (GO:0001916),-0.7491885773958508,-1.655751474276905,0.0,0.1965840286054827,0.81,6/25,1.73%,HLA-B;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DRA
12,prerank,GO_Biological_Process_2021__cellular response to interferon-gamma (GO:0071346),-0.5593687305639874,-1.6469107840502861,0.0,0.19760960850829742,0.838,33/115,5.43%,HLA-C;HLA-B;B2M;HLA-A;SP100;HLA-E;HLA-F;OASL;GBP2;HLA-DRB1;OAS1;GBP1;VCAM1;HLA-DPB1;CCL2;HLA-DPA1;GBP3;HLA-DRA;CD44;LGALS9;IRF7;TRIM22;GBP4;OAS2;HLA-DQB1;GBP5;CAMK2D;SIRPA;PML;CCL5;HLA-DQA2;TRIM25;CCL11
13,prerank,GO_Biological_Process_2021__heme catabolic process (GO:0042167),-0.8265705466457306,-1.6207419184023877,0.03289473684210526,0.22262502979737783,0.916,3/15,2.32%,HMOX1;BLVRB;BLVRA
14,prerank,GO_Biological_Process_2021__porphyrin-containing compound catabolic process (GO:0006787),-0.8265705466457306,-1.6207419184023877,0.03289473684210526,0.22262502979737783,0.916,3/15,2.32%,HMOX1;BLVRB;BLVRA
15,prerank,GO_Biological_Process_2021__superoxide metabolic process (GO:0006801),-0.7168882290649178,-1.6115802715251328,0.0273972602739726,0.2263694874851013,0.927,10/29,6.84%,SOD1;PRDX2;SOD3;CYBA;SOD2;SH3PXD2A;NOX4;SH3PXD2B;CCS;NOXA1
16,prerank,GO_Biological_Process_2021__regulation of endopeptidase activity (GO:0052548),-0.5879488756664936,-1.6072439549884747,0.0,0.221196662693683,0.93,17/67,3.87%,SERPING1;PSME2;PSME1;SERPINH1;TIMP2;PSMB8;SERPINF1;TIMP1;TIMP3;PSMB9;SERPINE2;SERPINB6;SERPINI1;BIRC2;SERPINE1;PSENEN;BIRC3
17,prerank,KEGG_2021_Human__Allograft rejection,-0.712024328993701,-1.604812211214676,0.0,0.2140770758839889,0.932,13/35,3.90%,HLA-C;HLA-B;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRA;FAS;CD40;HLA-DQB1;HLA-DMA
18,prerank,GO_Biological_Process_2021__positive regulation of T cell mediated immunity (GO:0002711),-0.6661074520856861,-1.5962648288050485,0.015873015873015872,0.21851627877799384,0.945,7/34,1.73%,HLA-B;B2M;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DRA
19,prerank,KEGG_2021_Human__Antigen processing and presentation,-0.5816313761924153,-1.584917888871649,0.0,0.22801477949940405,0.966,19/69,3.03%,HLA-C;HLA-B;B2M;HLA-A;CD74;PSME2;PSME1;HLA-E;HLA-F;HLA-DRB1;CTSL;HLA-DPB1;HLA-DPA1;HLA-DRA;HSPA8;CTSS;HSPA6;HLA-DQB1;TAP2
20,prerank,GO_Biological_Process_2021__negative regulation of viral entry into host cell (GO:0046597),-0.8106397242253786,-1.578212300561999,0.017391304347826087,0.2305570123162495,0.969,6/16,3.02%,IFITM2;LY6E;IFITM3;IFITM1;GSN;PTX3
21,prerank,GO_Biological_Process_2021__cellular response to interferon-beta (GO:0035458),-0.7358953732626999,-1.554843196780308,0.05357142857142857,0.2664960450753061,0.985,4/18,1.01%,IFITM2;IFI16;NDUFA13;OAS1
22,prerank,GO_Biological_Process_2021__positive regulation of leukocyte mediated cytotoxicity (GO:0001912),-0.6144540153562382,-1.5460688463270555,0.0,0.27192952272373944,0.989,6/42,1.73%,HLA-B;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DRA
23,prerank,GO_Biological_Process_2021__collagen fibril organization (GO:0030199),-0.5796333691759069,-1.531094391355638,0.0,0.29038458482320223,0.994,33/88,3.53%,COL1A2;COL6A1;LUM;COL3A1;COL6A2;SERPINH1;PPIB;LOXL1;COL1A1;P4HB;COL5A1;COL6A3;COL5A2;COL12A1;COL8A1;COL9A1;COL11A1;LOX;P3H4;COL27A1;LAMA3;PLOD3;COL10A1;P3H1;DPT;CRTAP;LOXL2;COL5A3;COL16A1;DDR2;P4HA2;PLOD1;ITGB4
24,prerank,GO_Biological_Process_2021__positive regulation of interferon-gamma production (GO:0032729),-0.5975097688324982,-1.5035445415449327,0.0,0.3405867938021454,0.999,14/55,6.30%,HLA-A;ISG15;HLA-DPB1;PYCARD;CD2;IL1R1;HLA-DPA1;LGALS9;FADD;IL18;IL18R1;SCRIB;BTN3A2;TNFSF4
25,prerank,GO_Biological_Process_2021__antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),-0.5654901305492428,-1.4968663517975684,0.0,0.34276189603007245,0.999,31/77,4.50%,HLA-C;HLA-B;B2M;HLA-A;PSME2;PSME1;HLA-E;PSMB1;PSMB5;PSMB8;HLA-F;PSMB3;PSMD2;PSMB9;PSMA4;PSMA2;PSMD13;CYBA;PSMD7;ITGB5;PSMC3;PSMC1;PSMB10;TAP2;PSMC2;PSMA1;PSMA6;PSMD3;PSMD14;PSMC5;PSMD6
26,prerank,GO_Biological_Process_2021__defense response to symbiont (GO:0140546),-0.4863800970237875,-1.493677401832518,0.0,0.33624473579658326,0.999,38/120,5.54%,IFI6;IFI27;IFITM2;IFI16;MX1;ISG15;IFITM3;IFIT1;IFIT3;IFITM1;OASL;RSAD2;BNIP3;OAS1;ISG20;PLSCR1;PYCARD;IFIT2;PQBP1;IFI44L;IRF7;PTPRC;MX2;IL6;OAS2;CD40;RNASE1;ZBP1;SAMHD1;MICA;FADD;RTP4;IFNAR2;IFIH1;DDX58;BST2;NLRP1;DDIT4
27,prerank,KEGG_2021_Human__Steroid hormone biosynthesis,-0.5946568328567121,-1.4935029265297879,0.0,0.3244791418355185,0.999,13/45,9.24%,COMT;UGT2B7;HSD17B12;HSD17B8;CYP7B1;HSD11B1L;AKR1C1;SULT2B1;HSD17B6;HSD17B7;CYP11A1;AKR1C3;CYP1A2
28,prerank,GO_Biological_Process_2021__negative regulation of endopeptidase activity (GO:0010951),-0.5829899663741092,-1.4659877413810063,0.0,0.37581521515761784,0.999,11/59,3.24%,SERPING1;IFI16;SERPINH1;TIMP2;SERPINF1;TIMP1;TIMP3;SERPINE2;SERPINB6;SERPINI1;SERPINE1
29,prerank,GO_Biological_Process_2021__antigen processing and presentation of peptide antigen via MHC class I (GO:0002474),-0.6427679602656182,-1.4487203011265954,0.028985507246376812,0.4011864918553834,1.0,9/33,3.03%,HLA-C;HLA-B;B2M;HLA-A;HLA-E;HLA-F;SEC13;SEC23A;TAP2
30,prerank,GO_Biological_Process_2021__membrane repolarization during cardiac muscle cell action potential (GO:0086013),0.9385803771096203,1.4456729586721142,0.0023446658851113715,0.5466269273839263,0.389,3/15,0.56%,YWHAE;ATP1A1;ATP1B1
31,prerank,GO_Biological_Process_2021__hydrogen peroxide metabolic process (GO:0042743),-0.6311016017130705,-1.4429433094024915,0.05714285714285714,0.40266646160944286,1.0,8/27,4.54%,PRDX4;SOD1;PRDX2;GPX1;CYBA;PRDX5;PRDX3;HBB
32,prerank,"GO_Biological_Process_2021__antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",-0.5716943856303427,-1.4354551450864306,0.0,0.40816716328963054,1.0,31/72,4.50%,HLA-C;HLA-B;B2M;HLA-A;PSME2;PSME1;HLA-E;PSMB1;PSMB5;PSMB8;HLA-F;PSMB3;PSMD2;PSMB9;PSMA4;PSMA2;PSMD13;CYBA;PSMD7;ITGB5;PSMC3;PSMC1;PSMB10;TAP2;PSMC2;PSMA1;PSMA6;PSMD3;PSMD14;PSMC5;PSMD6
33,prerank,GO_Biological_Process_2021__maintenance of gastrointestinal epithelium (GO:0030277),0.9183147054835148,1.407512707610538,0.002331002331002331,1.0,0.891,4/15,2.20%,SOX9;MUC4;RBP4;STRAP
34,prerank,GO_Biological_Process_2021__regulation of multicellular organism growth (GO:0040014),-0.7118912233539532,-1.4031074991157146,0.08391608391608392,0.47443551125076744,1.0,4/17,2.73%,SOD1;PPIB;IGF1;GDF15
35,prerank,GO_Biological_Process_2021__regulation of cardiac muscle cell contraction (GO:0086004),0.8628824706984347,1.400316685570516,0.0010964912280701754,1.0,0.944,10/27,6.48%,DSC2;DSP;JUP;ATP2A2;DSG2;CAV1;PKP2;FGF13;DLG1;AKAP9
36,prerank,GO_Biological_Process_2021__regulation of cardiac muscle cell action potential (GO:0098901),0.8673873272288767,1.396666902311255,0.0011123470522803114,0.9484274269962959,0.965,14/25,9.18%,DSC2;DSP;JUP;ATP2A2;DSG2;CAV1;PKP2;FGF13;DLG1;CALM3;AKAP9;CXADR;NOS1AP;CALM1
37,prerank,GO_Biological_Process_2021__negative regulation of peptidase activity (GO:0010466),-0.5356298079882855,-1.3950922104836565,0.03125,0.48023837902264604,1.0,13/60,3.70%,SERPING1;SERPINH1;TIMP2;SERPINF1;TIMP1;TIMP3;SERPINE2;LRP1;SERPINB6;SERPINI1;SERPINE1;CST7;ECM1
38,prerank,GO_Biological_Process_2021__glutamine family amino acid catabolic process (GO:0009065),0.9079472190424125,1.3929620495398507,0.0,0.8607393573951245,0.976,3/16,2.69%,GLUL;GLUD1;GLS
39,prerank,GO_Biological_Process_2021__regulation of nitric oxide biosynthetic process (GO:0045428),0.8248432422185025,1.3809731684842694,0.0,1.0,0.996,17/39,8.86%,DDAH2;CLU;SMAD3;ZC3H12A;TNF;CD47;ROCK2;CAV1;KHSRP;HSP90AA1;INSR;ASS1;RAC1;ATP2B4;NOS1AP;P2RX4;EDN1
40,prerank,GO_Biological_Process_2021__regulation of wound healing (GO:0061041),0.7971369906117933,1.3665863120561001,0.005246589716684155,1.0,1.0,15/45,5.28%,CLDN1;CLDN4;CLDN3;TNFRSF12A;HBEGF;OCLN;CRK;SRSF6;TNFAIP3;CAV1;ARFGEF1;PTK2;ACTG1;F2RL1;PLAU
41,prerank,GO_Biological_Process_2021__glycolytic process (GO:0006096),-0.6404547566067349,-1.3619356365168112,0.0625,0.5610526817640048,1.0,10/26,5.36%,ALDOA;LDHA;PGAM1;PGK1;PGM1;PKM;GPI;PFKL;TPI1;HK1
42,prerank,GO_Biological_Process_2021__positive regulation of nucleocytoplasmic transport (GO:0046824),0.807468147140775,1.361575074449513,0.0020768431983385254,1.0,1.0,27/46,10.49%,YWHAE;SMAD3;JUP;ZC3H12A;TCF7L2;KHDRBS1;GAS6;ZPR1;CDH1;UBR5;DHX9;TRIM28;TP53;IPO5;RAN;FLNA;CPSF6;NRDE2;DMAP1;TPR;GSK3B;HDAC3;RAPGEF3;NCBP2;MAVS;ANP32B;PSEN1
43,prerank,KEGG_2021_Human__Protein digestion and absorption,-0.5045577245227515,-1.3588038276962449,0.0,0.5538519401403789,1.0,31/98,5.36%,COL1A2;COL6A1;COL3A1;COL6A2;SLC3A2;COL1A1;COL5A1;COL6A3;COL5A2;ATP1B3;PRCP;COL12A1;COL8A1;COL9A1;COL11A1;COL27A1;COL10A1;SLC7A8;COL5A3;SLC36A4;COL16A1;PRSS2;MME;DPP4;SLC1A5;KCNN4;COL14A1;COL6A6;COL25A1;PRSS1;ELN
44,prerank,GO_Biological_Process_2021__epidermal cell differentiation (GO:0009913),0.7903389291548732,1.3553130632526196,0.0010438413361169101,1.0,1.0,19/52,10.47%,JAG1;DSP;EPHA2;ST14;KRT10;UGCG;HDAC1;ASAH1;CTNNB1;GATA6;SPRR2A;OVOL1;OPN3;PIP5K1A;ADAM9;CASP3;OVOL2;HDAC2;MED1
45,prerank,GO_Biological_Process_2021__calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338),0.8593247704966581,1.3546010073708619,0.008958566629339306,1.0,1.0,5/19,3.51%,CLDN1;CLDN4;CLDN7;CLDN6;CLDN9
46,prerank,GO_Biological_Process_2021__transition metal ion homeostasis (GO:0055076),-0.6161627169622765,-1.3507110212079603,0.08433734939759036,0.5625886673324099,1.0,6/27,2.54%,B2M;FTL;HMOX1;CYBRD1;BDH2;CP
47,prerank,GO_Biological_Process_2021__protein localization to cell-cell junction (GO:0150105),0.8757724326256702,1.348345795786072,0.01056338028169014,1.0,1.0,8/15,8.62%,DSP;TJP1;ACTB;F11R;LSR;JAK1;ACTG1;TJP2
48,prerank,GO_Biological_Process_2021__regulation of heart rate by cardiac conduction (GO:0086091),0.8025763176318707,1.3471289472683468,0.007415254237288136,1.0,1.0,8/39,6.48%,DSC2;YWHAE;DSP;JUP;DSG2;CAV1;PKP2;AKAP9
49,prerank,GO_Biological_Process_2021__tight junction assembly (GO:0120192),0.7887511180050758,1.346565754684441,0.0010395010395010396,1.0,1.0,20/52,9.24%,CLDN1;PARD6B;CLDN4;CLDN7;CLDN3;CRB3;OCLN;RAB13;CLDN6;F11R;LSR;CLDN9;ACTG1;PATJ;DLG1;PARD3;APC;MARVELD2;PRKCI;CLDN10
50,prerank,GO_Biological_Process_2021__mucosal immune response (GO:0002385),0.8531835900970502,1.3462444740608146,0.012415349887133182,1.0,1.0,2/19,3.30%,RPL39;OTUD7B
51,prerank,GO_Biological_Process_2021__detection of mechanical stimulus (GO:0050982),0.8517881814218518,1.3428830742283413,0.019318181818181818,1.0,1.0,4/19,3.90%,CDH2;JUP;CTNNB1;PTK2
52,prerank,GO_Biological_Process_2021__apical junction assembly (GO:0043297),0.7824934106738481,1.3403078059628568,0.0,1.0,1.0,23/56,9.24%,CLDN1;PARD6B;CLDN4;CLDN7;CLDN3;PKN2;VCL;CRB3;OCLN;RAB13;CLDN6;F11R;CLDN9;WDR1;CTNNA1;PATJ;DLG1;PARD3;RHOC;APC;MARVELD2;PRKCI;CLDN10
53,prerank,GO_Biological_Process_2021__gonad development (GO:0008406),0.7915580085850575,1.3383244241215133,0.002066115702479339,1.0,1.0,18/47,9.90%,TFAP2C;SOX9;BIK;CSDE1;COL9A3;NUP107;WT1;GATA6;NR2F2;MKKS;KITLG;MEA1;SALL1;WNT4;LRP2;IRX5;GATA3;SIX4
54,prerank,GO_Biological_Process_2021__positive regulation of response to wounding (GO:1903036),0.8158472216256184,1.337153469254726,0.018619934282584884,1.0,1.0,9/27,4.36%,CLDN1;CLDN4;CLDN3;HBEGF;OCLN;GRN;ARFGEF1;PTK2;ACTG1
55,prerank,GO_Biological_Process_2021__RNA splicing (GO:0008380),0.7641522119665719,1.3370285666100823,0.00101010101010101,1.0,1.0,65/96,15.60%,SCAF11;SRSF10;SNRPF;SRRM1;SRSF11;PRPF6;PRPF4B;SFPQ;NONO;PPP2CA;SRSF4;KHSRP;CDK12;LSM4;TARDBP;PPIG;WT1;LUC7L3;TCERG1;MPHOSPH10;PPP2R1A;SRPK1;MAGOHB;LSM6;DHX15;SF3B1;SF3B2;RNPS1;SNRPG;TRA2B;IVNS1ABP;NRDE2;MAGOH;PRPF8;TXNL4A;SRPK2;ZCRB1;HNRNPH3;SNRNP40;SNRPB;BCAS2;WBP4;SNRNP35;SNRPD1;NCBP2;SF3A3;MBNL1;SYNCRIP;SLU7;SNRNP48;SMNDC1;RRAGC;PTBP1;RNPC3;SNRPN;DDX23;WDR83;DHX16;SF3B3;CCAR2;SMU1;RP9;PRPF4;DHX8;DDX39B
56,prerank,GO_Biological_Process_2021__beta-catenin-TCF complex assembly (GO:1904837),0.8245241997105421,1.33693301510658,0.005500550055005501,1.0,1.0,18/29,12.48%,TLE4;SMARCA4;HDAC1;TCF7L2;TCF7L1;TLE3;TLE1;CTNNB1;RBBP5;BCL9;CDC73;TCF7;CREBBP;KAT5;EP300;BCL9L;TRRAP;KMT2D
57,prerank,GO_Biological_Process_2021__inner ear morphogenesis (GO:0042472),0.8406402157820769,1.336898909612422,0.016574585635359115,1.0,1.0,8/22,6.85%,PAX8;MYO6;SOX9;TFAP2A;TTC39C;CHD7;SIX1;USH1C
58,prerank,GO_Biological_Process_2021__glycerolipid catabolic process (GO:0046503),0.8478374636376248,1.3361650062275048,0.014412416851441241,1.0,1.0,7/19,7.66%,ABHD12;ABHD2;PRDX6;GDE1;MGLL;LYPLA2;PNPLA6
59,prerank,GO_Biological_Process_2021__peptidyl-threonine modification (GO:0018210),0.7643986618701597,1.3361626365902768,0.0020387359836901123,1.0,1.0,35/67,14.99%,GALNT2;DYRK2;GALNT3;ROCK2;CSNK2A1;MAPK8;HIPK1;TBK1;MARK2;GALNT1;CDC42BPB;MAP3K12;PRKDC;DYRK1B;GSK3B;ULK1;CSNK2A2;GSK3A;WNK1;MAP2K1;ACVR1B;ROCK1;CDC42BPA;ACVR1;HIPK2;LMTK2;DYRK1A;PDPK1;TNKS;MAPK1;HIPK3;CAD;DYRK4;NLK;CSNK2B
60,prerank,GO_Biological_Process_2021__positive regulation of mRNA catabolic process (GO:0061014),0.7934964167892488,1.33521372148362,0.01050420168067227,0.9948874149366872,1.0,33/43,17.29%,ZC3H12A;PUM1;CNOT7;YTHDF1;YTHDF2;ROCK2;METTL16;KHSRP;BTG2;PABPC1;CELF1;RC3H1;CNOT1;ZFP36;ZFP36L1;ZFP36L2;AGO2;TNRC6B;NANOS1;ROCK1;TNRC6A;GTPBP1;CNOT8;POLR2G;GIGYF2;MOV10;CPEB3;FTO;PNPT1;METTL14;DHX36;TOB1;UPF1
61,prerank,KEGG_2021_Human__Arrhythmogenic right ventricular cardiomyopathy,0.7699693452344626,1.3350136553475054,0.0,0.9602413024377637,1.0,20/74,6.96%,DSC2;DSP;ITGB8;CDH2;JUP;ATP2A2;ACTB;TCF7L2;TCF7L1;LMNA;DSG2;ITGAV;CTNNB1;PKP2;ITGA2;ACTG1;CTNNA1;ITGA3;TCF7;ITGA6
62,prerank,GO_Biological_Process_2021__cytoplasmic translational initiation (GO:0002183),0.8565101478517404,1.3321672999204368,0.016036655211912942,0.9991404811916484,1.0,14/18,9.39%,EIF4A1;EIF3M;EIF4B;DENR;EIF5;EIF4H;EIF3A;EIF4G1;EIF2S2;EIF2S3;EIF2D;DHX29;EIF3I;RBM4
63,prerank,GO_Biological_Process_2021__ear morphogenesis (GO:0042471),0.8318796488763632,1.3313923671535226,0.019079685746352413,0.9830775739129604,1.0,8/22,6.85%,PAX8;OSR2;MYO6;NIPBL;TFAP2A;CHD7;SIX1;USH1C
64,prerank,GO_Biological_Process_2021__mRNA destabilization (GO:0061157),0.796650238254506,1.3309837246804335,0.007438894792773645,0.957834955637867,1.0,28/36,18.83%,ZC3H12A;PUM1;YTHDF1;YTHDF2;ROCK2;METTL16;KHSRP;TARDBP;CELF1;RC3H1;CNOT1;ZFP36;ZFP36L1;ZFP36L2;POLR2D;DIS3L2;ROCK1;PDE12;GIGYF2;MOV10;RC3H2;CPEB3;FTO;METTL14;DHX36;UPF1;DCPS;YTHDF3
65,prerank,GO_Biological_Process_2021__positive regulation of nitric oxide biosynthetic process (GO:0045429),0.8157244846858251,1.3304105738122893,0.014285714285714285,0.9386357433738983,1.0,10/26,8.86%,DDAH2;CLU;SMAD3;TNF;HSP90AA1;INSR;ASS1;NOS1AP;P2RX4;EDN1
66,prerank,GO_Biological_Process_2021__regulation of mRNA processing (GO:0050684),0.7950978998746201,1.3302874009518924,0.010752688172043012,0.9098565595658541,1.0,21/35,10.66%,RBM39;SRSF10;PAPOLA;KHDRBS1;METTL16;DHX9;QKI;SF1;SAFB;SRPK1;ZFP36L1;AHCYL1;SRPK2;SLTM;SUPT6H;YTHDC1;SAFB2;CDK11B;CWC22;IWS1;PABPN1
67,prerank,GO_Biological_Process_2021__regulation of water loss via skin (GO:0033561),0.8444427565656534,1.330056709366015,0.014959723820483314,0.8570753725557756,1.0,6/19,4.67%,CLDN1;CLDN4;UGCG;LSR;SFN;KDF1
68,prerank,GO_Biological_Process_2021__establishment of skin barrier (GO:0061436),0.8444427565656534,1.330056709366015,0.014959723820483314,0.8570753725557756,1.0,6/19,4.67%,CLDN1;CLDN4;UGCG;LSR;SFN;KDF1
69,prerank,GO_Biological_Process_2021__regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),0.7776368749345317,1.3285705401002592,0.009483667017913594,0.862251763913578,1.0,20/45,11.33%,KLF5;FOSL1;SMAD3;NFIB;FOXO3;SMARCA4;SOX9;JUN;TNF;HIF1A;TP53;WT1;NR3C1;EGR1;FOS;BMP4;SRF;GATA3;RELA;PPARD
70,prerank,GO_Biological_Process_2021__positive regulation of nitric oxide metabolic process (GO:1904407),0.8120669833240506,1.327553617224669,0.014176663031624863,0.8579782623015612,1.0,10/27,8.86%,DDAH2;CLU;SMAD3;TNF;HSP90AA1;INSR;ASS1;NOS1AP;P2RX4;EDN1
71,prerank,GO_Biological_Process_2021__bicellular tight junction assembly (GO:0070830),0.7822721196673725,1.3269378286424591,0.0020920502092050207,0.846253177953066,1.0,18/49,9.24%,CLDN1;PARD6B;CLDN4;CLDN7;CLDN3;CRB3;OCLN;RAB13;CLDN6;F11R;CLDN9;PATJ;DLG1;PARD3;APC;MARVELD2;PRKCI;CLDN10
72,prerank,GO_Biological_Process_2021__cell-cell junction organization (GO:0045216),0.7622702000299294,1.3255360853958436,0.0020242914979757085,0.8519865047233468,1.0,30/79,12.30%,CLDN1;DSP;PARD6B;CDH2;SMAD3;CDH6;TJP1;JUP;OCLN;DSG2;NECTIN2;CDH1;FSCN1;NECTIN1;PKP2;CTNNA1;F2RL1;PKP3;CTNND1;CXADR;MARVELD2;PRKCI;NECTIN4;TJP2;CADM1;PKP4;MARVELD3;PVR;NECTIN3;LIMS1
73,prerank,GO_Biological_Process_2021__mRNA processing (GO:0006397),0.7373326874722586,1.325159790408672,0.0,0.8369354997171345,1.0,191/292,16.24%,UBL5;SCAF11;SRSF10;POLR2A;SPEN;TRA2A;SNRPF;SRRM1;SNRPE;PRPF38A;HNRNPH1;SRSF11;PCBP2;SRRM2;PAPOLA;PRPF6;SRSF9;CHTOP;ELAVL1;PRPF4B;DDX46;HNRNPU;SFPQ;SRSF6;NONO;WBP11;ZC3H11A;SRSF4;CHERP;AKAP8L;RALY;ZCCHC8;DHX9;LSM4;PABPC1;TCERG1;SF3B6;CELF1;CDK7;MNAT1;SF1;CSTF1;RPRD1B;SYF2;MAGOHB;RBM17;LSM6;CDC5L;DHX15;DDX39A;SF3B1;SF3B2;RNPS1;LSM2;SNRPG;SNIP1;TRA2B;CWC15;SRSF5;SNRNP70;PRPF40A;RNMT;CWC27;CPSF6;POLR2K;POLR2C;MAGOH;PRPF8;CRNKL1;TXNL4A;RPRD2;U2AF2;YTHDC1;ZCRB1;BUD31;UPF3B;PRCC;HNRNPH3;NUDT21;SNRNP40;XAB2;THOC2;RBM14;HNRNPA0;SART3;SNRPB;BCAS2;POLR2D;POLR2J;RBM19;HNRNPA3;RBMX2;THOC6;WBP4;PRPF19;SNRNP200;HNRNPM;GTF2H2;CPSF7;HNRNPA1;HNRNPR;CWC22;POLDIP3;SNRNP35;AURKAIP1;GEMIN7;SNRPD1;RPRD1A;RBM15;NCBP2;SF3A3;LSM7;U2SURP;DHX35;HNRNPF;SNW1;POLR2I;THOC1;SYMPK;SYNCRIP;RBM4;SLU7;LSM8;PPIE;SNRNP48;PPIL1;CWF19L2;SRRT;PNN;SNRPC;CSTF3;SMNDC1;CCNH;PABPN1;DNAJC8;MFAP1;KIN;HNRNPD;SF3A1;GTF2F1;PTBP1;PCBP1;RNPC3;CWC25;POLR2L;SNRPN;SUPT5H;POLR2G;DDX23;USP49;SRSF1;GTF2H1;WDR83;AQR;HNRNPUL1;DHX16;PHF5A;EFTUD2;CPSF3;SON;TBRG4;CPSF4;RNGTT;SF3B3;ZMAT2;HNRNPA2B1;GCFC2;SMU1;BUD13;ISY1;CSTF2T;PRPF4;RBM22;SART1;SRSF3;HNRNPH2;SARNP;DHX8;PRKACA;CASC3;SRSF8;DDX39B;PPIH;METTL14;RBM6;SF3B5;SNRPA;RBM41;ALYREF;CACTIN;RBM15B
