,mean_expression
TP73-AS1,0.012453181885595554
CCDC27,0.00025296785440921026
SMIM1,0.035635144912479495
LRRC47,0.12399398938529545
RN7SL574P,0.0
RP1-286D6.5,0.0
CEP104,0.05510492186051398
DFFB,0.00864312472569387
C1orf174,0.05930744730448819
LINC01134,0.0021125899209764694
EEF1DP6,0.001323635805405726
RP5-1166F10.1,0.0
AJAP1,0.01934521527830567
NPHP4,0.0068054250206115085
KCNAB2,0.053299102437349824
CHD5,0.00015462936326584607
RPL22,1.6590815035545337
RP1-120G22.11,0.00038628988727545726
RNF207,0.020903291974660582
ICMT,0.07412142230580666
LINC00337,0.0021869869907799257
GPR153,0.01469285001423188
ACOT7,0.07273514638335044
RP1-202O8.3,0.006693111446833891
HES2,0.014279925791924846
ESPN,0.07125356279177468
TNFRSF25,0.06767218305864403
PLEKHG5,0.008121200171403954
NOL9,0.08498612843973562
RP11-58A11.2,0.0010657057630452434
TAS1R1,0.00045146741674970267
ZBTB48,0.016138491976667436
KLHL21,0.15290166423531004
PHF13,0.03917693784915365
THAP3,0.07809849312572142
DNAJC11,0.023048511865697233
RP11-242F24.1,0.001336856997218736
RP11-312B8.1,0.00219684907343484
CAMTA1,0.5788932846837451
RP11-312B8.2,0.0006941918161358803
RNU1-8P,0.0
CAMTA1-IT1,0.0006522147137003026
RP11-338N10.1,0.0
RP11-338N10.2,0.00032155292000024104
RP11-338N10.3,0.0008871686910739524
VAMP3,0.24301268582818217
RP3-467L1.6,0.0002951745116578475
PER3,0.018323069471046942
RP3-467L1.4,0.0010856228235536598
UTS2,0.0023852429189277664
TNFRSF9,0.10290899642868245
PARK7,0.8864344322603083
ERRFI1,0.3098747004682754
RP11-431K24.1,0.005741526736925651
CTA-215D11.4,0.0012943774692145942
RP11-431K24.3,0.0005444595877356501
RP11-431K24.4,0.0
SLC45A1,0.004408412598167537
RERE,0.09880849498865224
RP5-1115A15.1,0.000342421590277336
SNORA77,0.0
RPL7P11,0.0003294948539863737
RPL7P7,0.003722356303173059
Y-RNA.2,0.0
RP4-633I8.3,0.0
RP4-633I8.4,0.0
RPL23AP19,0.0009143009099185687
ENO1,1.3467444051501523
ENO1-IT1,0.004930023545388314
ENO1-AS1,0.013066614279888185
HMGN2P17,0.0
RP3-477M7.5,0.0008374164280740707
RP3-477M7.6,0.0013369835818387481
CA6,0.0
SLC2A5,0.01920548788940779
GPR157,0.016811292857484696
MIR34A,0.00854786203752879
RP3-510D11.2,0.006938190070203031
RP3-510D11.4,0.0
H6PD,0.043206463824823245
SPSB1,0.23535604896250018
SLC25A33,0.343655892528118
RP13-15M17.1,0.003521430499552871
TMEM201,0.016777971218539144
PIK3CD,0.028425739509703812
PIK3CD-AS1,0.0037561193353186054
RP11-558F24.2,0.0
PIK3CD-AS2,0.02102274732459733
CLSTN1,0.11835163947589084
CTNNBIP1,0.12205082441860624
RP11-84A14.5,0.0
LZIC,0.07852621954793587
RP11-84A14.4,0.001393637880823585
NMNAT1,0.013609793039937413
RN7SKP269,0.001095964290348453
RBP7,0.008855916566162992
UBE4B,0.0442581922349636
RP11-496H15.2,0.0
KIF1B,0.13886776018673472
MIR1273D,0.0
PGD,0.18811246588949776
RP4-736L20.3,0.00022422094266337807
APITD1-CORT,0.005721549893329119
APITD1,0.026915111400562634
CORT,0.0005197669941315926
DFFA,0.1149337633935663
RP5-1113E3.3,0.0
PEX14,0.05690034722700669
CASZ1,0.02829867433227392
RP4-734G22.3,0.0005916695664568418
C1orf127,0.0
TARDBP,0.12745370656371308
RP4-635E18.9,0.0
MASP2,0.0006281645238803667
RP4-635E18.8,0.0037809498402193915
SRM,0.46919240154940167
EXOSC10,0.07333399690451223
RP4-635E18.7,0.0017412705004595918
RP4-635E18.6,0.004224037333356397
MTOR,0.028006655982999236
MTOR-AS1,0.001193644302674364
ANGPTL7,0.0021741826824457967
RPL39P6,0.0003648094799996403
UBIAD1,0.07774000383661063
UBE2V2P3,0.00016770417185417053
DISP3,0.0006874906086918034
RP1-69M21.2,0.0002675462480007476
FBXO2,0.08963457516466268
FBXO44,0.043367872957170525
FBXO6,0.03472511760849321
MAD2L2,0.1670286841907926
DRAXIN,0.006506362974421543
AGTRAP,0.1531180081593294
C1orf167,0.011669821590055656
MTHFR,0.02583957471018047
CLCN6,0.018159068711273353
NPPA-AS1,0.0007032323911478234
NPPA,0.0
NPPB,0.004220537132700421
RNU5E-1,0.0033758488766208795
RNU5E-4P,0.002099857916631493
KIAA2013,0.09633181002640563
PLOD1,0.14980090322302914
MFN2,0.03691562929178007
MIIP,0.0726950243449543
TNFRSF8,0.00702221090685106
RPL23AP89,0.0008521307271550471
TNFRSF1B,0.18297935344362717
RP5-1118D24.2,0.0009309355023397583
VPS13D,0.03113906158867022
DHRS3,0.09451444519700629
RP11-474O21.5,0.0006564562920378799
AADACL4,0.0
AADACL3,0.0
C1orf158,0.001394503798677844
HNRNPCL1,0.0
HNRNPCL2,0.00017277218105543206
PRAMEF9,0.0
LRRC38,0.0013903870962118613
BRWD1P1,0.0
PDPN,0.4119583375345851
PRDM2,0.2075661252363143
KAZN,0.050844047893216185
RP11-344F13.1,0.0
TBCAP2,0.0003963787788760943
TMEM51-AS1,0.002256520386934227
TMEM51,0.12855046066511033
C1orf195,0.0
RP1-21O18.3,0.00041261001655208815
RP5-903E17.2,0.0
FHAD1,0.008783749013635036
RP3-467K16.2,0.00155926898370013
RP3-467K16.7,0.0
RP3-467K16.4,0.000740325310151679
EFHD2,0.28918837731029473
CTRC,0.0053314260243800685
CELA2A,0.00126781983396163
CELA2B,0.0
CASP9,0.013848516517041266
DNAJC16,0.015834684427013523
RP4-680D5.8,0.0
AGMAT,0.008990909276560129
RP4-680D5.2,0.0
CHCHD2P6,0.0039056584370840298
DDI2,0.07035567684824892
RP4-680D5.9,0.0010199319408015857
PLEKHM2,0.12668742730289478
RP11-288I21.1,0.0
SLC25A34,0.005788799817362431
RP11-169K16.4,0.00014501252862829291
TMEM82,0.0
FBLIM1,0.0965270017019552
RPL12P14,0.0031071040850766266
UQCRHL,0.02324385041641283
RP11-169K16.8,0.03099707750490403
FLJ37453,0.046434083128272026
SPEN,0.22074404900278108
RP1-134O19.3,0.0010615235636470103
ZBTB17,0.06300558137624623
RP11-5P18.1,0.0029702073325829736
RP11-5P18.3,0.0006001196372067484
RP11-5P18.11,0.0003941563434169924
C1orf64,0.0018721880225678078
HSPB7,0.014092184898885172
CLCNKA,0.00042711353735375027
CLCNKB,0.0011194039486254292
FAM131C,0.004457701952576524
EPHA2,0.1431136815359351
RP11-276H7.2,0.002648206426685401
RP11-276H7.3,0.007045665296438051
ARHGEF19,0.03028503385862269
ANO7P1,0.0006268653099598994
RSG1,0.006052289346312429
MT1XP1,0.009223239526587719
FBXO42,0.053603721279371686
SZRD1,0.27618338589461244
RP11-430L17.1,0.0029666176634016786
SPATA21,0.001222747632298883
NECAP2,0.24097605207306663
RP4-798A10.2,0.004762510125587054
CROCCP3,0.0032198254947780414
RP4-798A10.7,0.00563330601828057
RP4-798A10.4,0.00013478197841559238
NBPF1,0.02928049491914928
RP5-1182A14.5,0.0001486536112518741
CROCCP2,0.01825246416103173
MST1P2,0.0006626431716955903
EIF1AXP1,0.008053410308496545
ESPNP,0.0005907958479186317
RP1-163M9.7,0.0
CROCC,0.024521894674407844
CROCCP4,0.0
MST1L,0.0
RP11-108M9.4,0.023129672290957828
RP11-108M9.6,0.009213884255337966
MFAP2,0.33529117340156583
ATP13A2,0.04365730024215739
SDHB,0.29639304590919274
PADI2,0.004599895403907123
RP11-380J14.1,0.00018350727752771556
PADI1,0.0004150797345331299
PADI3,0.0004858052526151087
PADI4,0.00020159627498345404
AC004824.1,0.0
RCC2,0.12535649044612845
ARHGEF10L,0.01892080318989222
ACTL8,0.001492049373182142
IGSF21,0.0018749194016510176
RP11-174G17.3,0.0003765765545410967
KLHDC7A,0.00036198883207090896
ALDH4A1,0.005795927592330209
IFFO2,0.030814361067884672
RP5-1126H10.2,0.0009034601078719701
UBR4,0.05709271256631774
RP1-43E13.2,0.00921128310663803
EMC1,0.04772988069749069
MRTO4,0.1991409924760364
AKR7L,0.003811086001699421
AKR7A3,0.0
RP4-657E11.10,0.0
AKR7A2,0.1985084143678895
RNU6-1099P,0.0021601014169672452
PQLC2,0.033280386485658314
CAPZB,0.7320631495488111
RP5-1056L3.1,0.0
MINOS1,0.5314466528610837
RP5-1056L3.3,0.06359199496474678
NBL1,0.6314576031216301
TMCO4,0.01456249599121576
RNF186,0.00030098355920629846
RP11-91K11.2,0.00019747510973156963
OTUD3,0.022939379152205935
PLA2G2A,0.05997869583152719
PLA2G5,0.0022340752178891935
PLA2G2D,0.0012139058779909477
PLA2G2F,0.0005982973047863
RP3-340N1.2,0.00017048737069622692
PLA2G2C,0.0003584398067062041
UBXN10-AS1,0.0033311889557725593
UBXN10,0.002840365700333029
VWA5B1,0.0
CAMK2N1,0.05179120562540595
MUL1,0.09110757067431613
RPS4XP4,0.0006925718469363506
FAM43B,0.0026098855813322603
CDA,0.014066962508971813
PINK1,0.10953774378875086
PINK1-AS,0.003034190429182878
DDOST,0.42462090040618916
KIF17,0.0012078764832353613
RP5-930J4.5,0.001379975303050298
SH2D5,0.006366763049208493
HP1BP3,0.38406444008350343
EIF4G3,0.07886326016195137
RPS15AP6,0.0009302211755229934
RP11-487E1.2,0.0
HSPE1P27,0.00015786682874779218
ECE1,0.07970056471888541
RP3-329E20.2,0.0
RP5-1071N3.1,0.0
NBPF2P,0.0008522071586178957
NBPF3,0.0056077466905465
ALPL,0.019701920191320957
RP11-63N8.3,0.0
RAP1GAP,0.016522625995725074
USP48,0.10927445293711727
LDLRAD2,0.00045854137686321986
HSPG2,0.12735190002123242
RP11-26H16.1,0.004197343662630805
RP11-26H16.4,0.0
RP1-224A6.3,0.001050947810965164
LINC00339,0.013633079928058888
CDC42,1.0979798508122207
CDC42-IT1,0.007259854030823758
RP1-224A6.9,0.0008857088083727644
WNT4,0.024505656116398145
ZBTB40,0.01778019767263633
EPHA8,0.0006662556771334106
C1QA,0.17423694860566363
C1QC,0.11991973349220339
C1QB,0.16534063507260433
EPHB2,0.03670545568825848
C1orf234,0.0003787797249967812
KDM1A,0.10729524191782298
RP1-184J9.2,0.0
LUZP1,0.41844650659356536
RNU6-514P,0.002086712226528263
HTR1D,0.0
RP5-1057J7.1,0.0026454214517695647
LINC01355,0.018974074026432086
HNRNPR,0.5867477190206718
ZNF436,0.009256077131762895
ZNF436-AS1,0.012800782261908932
RP5-1057J7.7,0.0
TCEA3,0.0373097739220539
ASAP3,0.013289740075220612
E2F2,0.00274242708685737
RP1-150O5.3,0.0
ID3,0.2219217660562473
MDS2,0.001349450332032437
RPL11,3.54812501399666
TCEB3,0.2269665717377356
TCEB3-AS1,0.013558216510598695
PITHD1,0.2878848406970225
LYPLA2,0.14485661587897167
GALE,0.05447252497661314
HMGCL,0.05270912542990415
FUCA1,0.07772369716352039
CNR2,0.008851077038672538
RP11-4M23.4,0.005387275836038173
PNRC2,0.3341743265277178
SRSF10,0.427742608151057
RP11-4M23.7,0.00019747510973156963
RP11-293P20.2,0.0002929186512948018
MYOM3,0.0005315226485892322
IL22RA1,0.0008827351766810051
IFNLR1,0.01202812680872324
RP11-10N16.2,0.00019471396257343733
GRHL3,0.0021000880555287387
STPG1,0.03774688572018689
NIPAL3,0.05562917453662702
RCAN3,0.11731557163656446
RP4-594I10.3,0.019585652640343752
NCMAP,0.003030703801540347
RP11-496D1.2,0.0011672937626503817
SRRM1,0.8638524884882398
CLIC4,0.22518193230706982
RUNX3,0.12162799870767306
RP11-84D1.2,0.0
RP4-799D16.1,0.0007659679251828836
RP4-781L3.1,0.0001482771612229703
RP4-706G24.1,0.002566156684389366
SYF2,0.6568032075487109
RSRP1,0.2991303583951581
RP3-465N24.6,0.008717065841613674
RP3-465N24.5,0.0
RHD,0.00023455648623446767
TMEM50A,0.678663720995281
RHCE,0.0021897458176354232
TMEM57,0.20546722888215563
LDLRAP1,0.02799099863708817
RP11-70P17.1,0.006164237760632311
MAN1C1,0.007384352270475622
RP1-187B23.1,0.004825567298805123
SEPN1,0.04943572915819103
RP1-317E23.3,0.003088782775326341
MTFR1L,0.07463872955669733
AUNIP,0.006294822497732441
RP1-125I3.2,0.00019209860509725749
PAQR7,0.018979720834829756
STMN1,0.5270452527433195
RP1-125I3.4,0.001797069921095796
PAFAH2,0.0048964125162126275
EXTL1,0.0013242847625589502
SLC30A2,0.003404207609619487
TRIM63,0.000573453279590574
PDIK1L,0.014559439634601696
FAM110D,0.0021242287073707164
RP11-96L14.8,0.0
RP11-96L14.7,0.00018422671764963612
ZNF593,0.3612087674113911
CNKSR1,0.024158823848315077
CATSPER4,0.0
RP11-231P20.2,0.004397043893775202
RP11-231P20.6,0.00027190322714151517
CEP85,0.009986590282619681
RP11-231P20.5,0.0006565561273692458
SH3BGRL3,1.4701617728095568
UBXN11,0.05293538686762715
CD52,0.39525293009871204
AIM1L,0.003376334358476783
RP11-569G9.7,0.0
ZNF683,0.01163316797799221
LIN28A,0.00034069881153724345
DHDDS,0.05581309200375621
RP3-476K8.4,0.08875331141517145
HMGN2,1.020216142406989
DPPA2P2,0.0013118495658584444
RPS6KA1,0.02526578504172041
RN7SL679P,0.0002704705677747545
RP5-968P14.2,0.0018861380290726452
ARID1A,0.15971154222855571
PIGV,0.02546366253911208
RN7SL165P,0.00021232154826699286
ZDHHC18,0.0451308819833081
SFN,0.20363515985478226
GPN2,0.08877504950263615
GPATCH3,0.06743261643372246
NUDC,0.5147372445617021
NR0B2,0.0
KDF1,0.028484428774930626
RPL12P13,0.008625868667754161
RP11-344H11.5,0.00030905586925213525
TRNP1,0.01273052943883007
FAM46B,0.027484305495893504
SLC9A1,0.030061697505695276
RP11-40H20.5,0.0008912147944062328
NPM1P39,0.004810892286786004
SNRPEP7,0.0
WDTC1,0.030214625405402335
RP11-4K3--A.3,0.0003038849307053176
TMEM222,0.13640720906880274
ACTG1P20,0.00021402780940482196
SYTL1,0.04320673281935942
MAP3K6,0.0064756978541471635
FCN3,0.001550392946490841
CD164L2,0.0040569053239254554
RP1-144C9.2,0.0002847320075149541
GPR3,0.00551876452201411
WASF2,0.3402792625921991
RP4-752I6.1,0.0
AHDC1,0.04954785242145806
FGR,0.024121666073122595
RP1-159A19.3,0.014921579814209595
RP11-288L9.1,0.016424814391520583
IFI6,1.0954367538342016
RP11-288L9.4,0.0
FAM76A,0.05131416709534644
RP3-426I6.2,0.0
STX12,0.12721233666318785
RP3-426I6.5,0.0024383631075108408
RP3-426I6.6,0.0
PPP1R8,0.1464430962565284
SCARNA1,0.0
THEMIS2,0.09011698032646365
RPA2,0.11850362938078815
SMPDL3B,0.0647513418378761
RP11-460I13.2,0.0
XKR8,0.038262931769866976
EYA3,0.034965447360477755
RP11-460I13.6,0.000269098782973965
RN7SL559P,0.00825715784810774
SPCS2P4,0.012601627292624713
RP5-1053E7.3,0.0
PTAFR,0.019057236944386605
DNAJC8,0.5524979384769426
ATPIF1,0.6179285727741465
RP5-1092A3.4,0.0036870114788944025
RP5-1092A3.5,0.0
SESN2,0.13826129447943727
MED18,0.01583817669441292
PHACTR4,0.12246129929734491
RP1-308E4.1,0.0009145005578893985
RNU6ATAC27P,0.0
RCC1,0.07244758409022534
SNHG3,0.4580288914678803
SNORA73B,0.0
PRDX3P2,0.00033200358700957017
RP4-669K10.8,0.004481606094601511
TRNAU1AP,0.11165368300383989
SNHG12,0.1386896732247865
SNORD99,0.0
TAF12,0.13545515612837708
RAB42,0.010231391864838886
RP11-442N24--B.1,0.001093095472307968
RNU11.1,0.0007634351468660961
GMEB1,0.08628173125082964
YTHDF2,0.5419521366135913
OPRD1,0.001343186331952191
RP1-212P9.3,0.0
EPB41,0.0843538013399661
RP4-604A21.1,0.0024265040845175443
Metazoa-SRP,0.00028647968359669706
TMEM200B,0.0189555141147979
SRSF4,0.28890398016881436
MECR,0.05215573345783893
PTPRU,0.020940044264556916
RP4-656G21.1,0.0
MATN1,0.0015983833567955882
MATN1-AS1,0.007854762266559116
LAPTM5,0.6883242642654379
RP5-1125N11.2,0.0008433129722723641
RN7SKP91,0.0014007723707881443
RP1-65J11.5,0.0
SDC3,0.0338878672804242
RN7SL371P,0.0
PUM1,0.17737442393916272
RP11-201O14.2,0.0
RP11-490K7.1,0.0015301040253619606
NKAIN1,0.0008800143789781032
SNRNP40,0.1600597916771927
RP11-490K7.4,0.0032813928277038284
ZCCHC17,0.19715275454449374
FABP3,0.020593800758749413
SERINC2,0.18783947883418983
RP11-439L8.2,0.0
RNU6-40P,0.0
LINC01225,0.0007719990053601328
RP11-73M7.1,0.00014670177084374558
TINAGL1,0.050014353890087536
HCRTR1,0.00017740910605748138
PEF1,0.15619680449962195
RP11-73M7.6,0.0008348824266676227
RP11-73M7.9,0.0008479966776720968
COL16A1,0.09805231832965024
ADGRB2,0.010884822798932292
SPOCD1,0.007619448662192161
RP11-84A19.2,0.0028210490524837027
RP11-84A19.4,0.0004924122864538469
PTP4A2,1.0360895453424257
RP4-534N18.2,0.00016305907707309615
KHDRBS1,0.6036770729412014
RP11-277A4.4,0.007111686576346897
TMEM39B,0.054905035410486344
Metazoa-SRP.1,0.0
KPNA6,0.1436868332039618
RP4-622L5.2,0.00016197052634734402
TXLNA,0.0695044931886271
CCDC28B,0.05192956970386196
RP4-622L5.7,0.00036917386360627263
IQCC,0.006699477676229009
DCDC2B,0.0003648094799996403
TMEM234,0.034949880074213166
EIF3I,0.6114311733204782
MTMR9LP,0.009557273426939919
FAM167B,0.009282098243451949
LCK,0.14112710094214354
Metazoa-SRP.2,0.0
HDAC1,0.13332730017043773
MARCKSL1,0.8095955727910079
TSSK3,0.0016682455507141649
FAM229A,0.021224852222911473
BSDC1,0.1920023743647802
GAPDHP20,0.0
ZBTB8B,0.001886642485580468
ZBTB8A,0.06804315980730861
ZBTB8OS,0.22261297591551502
RBBP4,0.23726847233691345
SYNC,0.08383508784529914
RP11-114B7.6,0.0015340543460696206
KIAA1522,0.06226765488801122
YARS,0.20779064564094366
S100PBP,0.03916533385927339
FNDC5,0.006089642833408079
HPCA,0.0010937770318147184
TMEM54,0.08140861988874419
RNF19B,0.09522413059810418
RP4-803A2.1,0.004398827842369025
RP4-803A2.2,0.0
AK2,0.20196268689628552
Metazoa-SRP.3,0.0
AZIN2,0.017430570828413545
RP11-131M11.2,0.0016847713735749113
TRIM62,0.012389248546541222
RP11-131M11.3,0.00042463050840485853
ZNF362,0.03513211814671584
RP11-415J8.7,0.0
RP11-415J8.3,0.0006823693477951698
PHC2,0.12249229353804697
RN7SKP16,0.005897717573059634
RP11-415J8.5,0.00018789668635924015
ZSCAN20,0.008654625934295477
RP4-580O19.2,0.002996873543199958
CSMD2,0.023123049008025077
CSMD2-AS1,0.0
C1orf94,0.0019069189102149517
SMIM12,0.245572897516313
GJB5,0.0013717822004602096
GJB4,0.0008550585105358842
GJB3,0.08221405387876918
GJA4,0.0031554302188226495
DLGAP3,0.006581651146762306
RP11-244H3.1,0.010568140213867505
RP11-244H3.4,0.0022666117338592763
TMEM35B,0.0
ZMYM6,0.028188542377181634
ZMYM1,0.011882395715891716
SFPQ,0.9388058929379185
ZMYM4,0.0769088086013963
SNORA62,0.00020007613613609154
RPL5P4,0.052650264252963805
ZMYM4-AS1,0.0
KIAA0319L,0.05689315382946489
RP4-728D4.3,0.0009171288914383153
NCDN,0.015624470069206028
RP4-728D4.2,0.006770265169925109
TFAP2E,0.002000718837470596
PSMB2,0.6078819132997892
C1orf216,0.021352941495415657
CLSPN,0.02418785981903755
RP11-435D7.3,0.0
AGO4,0.023279931515786667
AGO1,0.03556126612963641
RP4-789D17.5,0.0005542190989522291
AGO3,0.13030283180780852
RP4-665N4.4,0.004407998957903139
TEKT2,0.004518111827747453
ADPRHL2,0.1636955317861871
COL8A2,0.02341348143404132
TRAPPC3,0.32970547758229435
MAP7D1,0.36760487986145457
RN7SL131P,0.00045207478033894207
THRAP3,0.5463342900574555
UBE2V2P4,0.00017195695186956767
SH3D21,0.014279289157340473
EVA1B,0.15903354674817458
RP11-268J15.5,0.010412806192432593
STK40,0.09915522359359932
LSM10,0.24823460456312282
OSCP1,0.020560908300937614
MRPS15,0.4283291040604234
CSF3R,0.012225923151484835
GRIK3,0.0
LINC01137,0.012595495664394885
ZC3H12A,0.36569416452919096
MEAF6,0.34911697463996477
SNIP1,0.06498352166120484
FTH1P1,0.0016554537120019534
RP3-423B22.5,0.015822913363430204
DNALI1,0.04625934832962887
GNL2,0.20552542122611234
RSPO1,0.0034230569092218474
C1orf109,0.07736623584246179
CDCA8,0.020062801079384004
EPHA10,0.0
RP11-109P14.2,0.0
MANEAL,0.0012295922839539507
YRDC,0.33725898779376196
C1orf122,0.467729331714412
MTF1,0.07931804696417018
RP11-109P14.8,0.0007643677913626779
RP11-109P14.10,0.0017561286037953334
INPP5B,0.027038242691699917
SF3A3,0.1970445061924056
FHL3,0.09770931448155344
UTP11,0.27241075021590677
POU3F1,0.013429102188060591
RP5-884C9.2,0.0024437348160905575
RP5-884C9.3,0.0
RP11-334L9.1,0.00037512802527269937
RRAGC,0.12340673923894857
RP5-864K19.4,0.011328175838318062
MYCBP,0.044948217190358575
RHBDL2,0.009243964562102098
EIF1P2,0.0004307752838245921
AKIRIN1,0.3641349192624318
NDUFS5,1.3646693059928379
MACF1,0.22381788666870941
RP11-416A14.1,0.0019317532411305093
RP11-420K8.1,0.0
HSPE1P8,0.0
BMP8A,0.000124973555447735
OXCT2P1,0.00032883178533841775
RP11-69E11.4,0.013208042093785415
PPIEL,0.0
PABPC4,0.41781560940945095
RP11-69E11.8,0.0002682222758365585
HEYL,0.002175334469445589
RP1-144F13.3,0.0
HPCAL4,0.006119930893958449
PPIE,0.10878615294181485
RP1-144F13.4,0.0002750851640370759
BMP8B,0.0033243630444501717
OXCT2,0.0021190946519293653
RP1-118J21.25,0.0
TRIT1,0.03939120838277824
Y-RNA.18,0.00047583346916868795
MYCL,0.008024324046456022
RP1-118J21.5,0.00024286148074811054
MFSD2A,0.13907997788047727
RP3-342P20.2,0.005643364929945001
CAP1,0.5531408559627015
PPT1,0.23755904213398124
RP11-115D7.3,0.001705392012391844
RLF,0.18601270554445445
RNU6-1237P,0.0
TMCO2,0.0006907451923668658
RP1-39G22.7,0.023289445122674654
ZMPSTE24,0.11337813418179499
COL9A2,0.04343118443497439
RP1-228H13.1,0.01132904409753513
SMAP2,0.41743257814191453
RP1-228H13.2,0.0018662696392594596
ZFP69B,0.009545266718978
RP1-228H13.5,0.000434462568292627
RP11-656D10.7,0.0
ZFP69,0.003946559719099093
RP11-656D10.3,0.002097869031574226
EXO5,0.013395989171239915
RP11-656D10.5,0.0
RP11-656D10.6,0.00019186229290234398
ZNF684,0.02441561535086543
GTF2F2P2,0.0002510375603153122
RIMS3,0.0014124702814119876
NFYC-AS1,0.012558085297353016
NFYC,0.08328561452517816
KCNQ4,0.0013465959063793046
RN7SL326P,0.00020324265172790522
CITED4,0.1772124821903379
RP5-1066H13.4,0.0002416263366705134
CTPS1,0.07347596854699052
SLFNL1-AS1,0.0027721707664055202
SLFNL1,0.00011600580442945615
SCMH1,0.022544701082863352
RPL23AP17,0.0
RP11-399E6.1,0.0010896991450282487
FOXO6,0.003212402273879552
